,Five_grams,Frequency
147,"('V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",46
148,"('RD_PUNC', 'QT_QTC', 'RD_PUNC', 'RD_PUNC', 'N_NN')",46
149,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VINF')",45
150,"('N_NN', 'RD_PUNC', 'N_NN', 'JJ', 'N_NN')",45
151,"('N_NN', 'N_NN', 'QT_QTC', 'N_NN', 'RD_PUNC')",45
152,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VNF', 'PR_PRP')",44
153,"('N_NN', 'V_VM_VNF', 'JJ', 'N_NN', 'N_NN')",44
154,"('V_VM_VNF', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NN')",44
155,"('V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'N_NN', 'N_NN')",44
156,"('N_NN', 'N_NN', 'RD_SYM', 'N_NN', 'RD_SYM')",43
157,"('RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC', 'RD_PUNC')",43
158,"('RD_PUNC', 'PR_PRP', 'N_NN', 'N_NN', 'N_NN')",42
159,"('N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VNF', 'RD_PUNC')",42
160,"('RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NNP')",42
161,"('N_NN', 'V_VM_VNF', 'QT_QTC', 'N_NN', 'N_NN')",42
162,"('N_NN', 'RD_PUNC', 'PR_PRP', 'N_NN', 'N_NN')",41
163,"('N_NST', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",41
164,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'N_NN', 'RD_PUNC')",41
165,"('N_NN', 'JJ', 'N_NN', 'N_NN', 'V_VM_VNF')",40
166,"('N_NN', 'JJ', 'N_NN', 'N_NN', 'V_VM_VF')",40
167,"('N_NN', 'CC_CCD', 'N_NN', 'N_NN', 'N_NN')",40
168,"('N_NN', 'N_NN', 'PSP', 'V_VM_VF', 'RD_PUNC')",40
169,"('JJ', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",40
170,"('DM_DMD', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",40
171,"('DM_DMR', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",40
172,"('PR_PRP', 'N_NN', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",40
173,"('RD_PUNC', 'N_NN', 'QT_QTC', 'N_NN', 'RD_PUNC')",40
174,"('RD_SYM', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",39
175,"('DM_DMD', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",39
176,"('N_NN', 'N_NN', 'N_NN', 'V_VM_VNF', 'V_VAUX')",39
177,"('N_NN', 'RD_PUNC', 'N_NNP', 'N_NN', 'N_NN')",39
178,"('N_NNP', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",39
179,"('N_NN', 'N_NNP', 'N_NN', 'N_NN', 'N_NN')",39
180,"('JJ', 'N_NN', 'V_VM_VNF', 'N_NN', 'N_NN')",39
181,"('N_NN', 'N_NN', 'JJ', 'N_NN', 'V_VM_VNF')",39
182,"('RD_SYM', 'N_NN', 'RD_SYM', 'N_NN', 'N_NN')",38
183,"('N_NN', 'RD_PUNC', 'N_NN', 'N_NN', 'QT_QTC')",38
184,"('PSP', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",38
185,"('N_NN', 'N_NN', 'V_VM_VNF', 'RD_PUNC', 'PR_PRP')",38
186,"('RD_PUNC', 'N_NNP', 'N_NN', 'N_NN', 'N_NN')",38
187,"('N_NN', 'N_NN', 'RD_PUNC', 'QT_QTC', 'RD_PUNC')",38
188,"('QT_QTC', 'N_NN', 'RD_PUNC', 'N_NN', 'QT_QTC')",38
189,"('N_NN', 'V_VM_VNF', 'PR_PRP', 'N_NN', 'V_VM_VNF')",38
190,"('JJ', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",37
191,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VF')",37
192,"('N_NN', 'N_NN', 'JJ', 'N_NN', 'RD_PUNC')",37
193,"('N_NN', 'V_VM_VINF', 'N_NN', 'N_NN', 'V_VM_VNF')",37
194,"('N_NN', 'RD_PUNC', 'N_NNP', 'N_NN', 'RD_PUNC')",37
195,"('N_NN', 'N_NN', 'RB', 'V_VM_VNF', 'RD_PUNC')",37
196,"('N_NN', 'JJ', 'N_NN', 'V_VM_VNF', 'N_NN')",36
197,"('N_NN', 'N_NN', 'N_NN', 'RB', 'N_NN')",36
198,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'V_VM_VF', 'RD_PUNC')",36
199,"('RB', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",36
200,"('N_NN', 'V_VM_VNF', 'RB', 'V_VM_VF', 'RD_PUNC')",36
201,"('N_NN', 'N_NN', 'N_NN', 'CC_CCD', 'N_NN')",36
202,"('N_NN', 'V_VM_VNF', 'V_VM_VNF', 'N_NN', 'RD_PUNC')",36
203,"('N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",36
204,"('N_NN', 'N_NN', 'N_NN', 'RD_SYM', 'N_NN')",35
205,"('PR_PRP', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NN')",35
206,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'N_NST')",35
207,"('N_NN', 'N_NN', 'V_VM_VINF', 'N_NN', 'RD_PUNC')",35
208,"('N_NN', 'JJ', 'N_NN', 'N_NN', 'RD_PUNC')",35
209,"('N_NN', 'V_VM_VNF', 'N_NN', 'JJ', 'N_NN')",35
210,"('N_NN', 'N_NN', 'PR_PRP', 'V_VM_VF', 'RD_PUNC')",35
211,"('N_NN', 'N_NN', 'PSP', 'N_NN', 'V_VM_VNF')",35
212,"('N_NN', 'PSP', 'N_NN', 'N_NN', 'V_VM_VNF')",35
213,"('N_NN', 'N_NN', 'N_NN', 'N_NST', 'N_NN')",35
214,"('QT_QTC', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",35
215,"('JJ', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NN')",35
216,"('PR_PRP', 'N_NN', 'N_NN', 'N_NN', 'RD_PUNC')",35
217,"('N_NN', 'N_NN', 'RB', 'N_NN', 'N_NN')",35
218,"('N_NN', 'V_VM_VNF', 'PR_PRP', 'N_NN', 'V_VM_VF')",35
219,"('N_NN', 'N_NST', 'N_NN', 'V_VM_VF', 'RD_PUNC')",35
220,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",35
221,"('N_NN', 'PSP', 'N_NN', 'N_NN', 'RD_PUNC')",35
222,"('N_NN', 'N_NST', 'N_NN', 'N_NN', 'N_NN')",35
223,"('V_VM_VNF', 'V_VM_VNF', 'N_NN', 'N_NN', 'N_NN')",35
224,"('QT_QTC', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",34
225,"('N_NN', 'RD_PUNC', 'JJ', 'N_NN', 'N_NN')",34
226,"('N_NN', 'N_NN', 'V_VM_VNF', 'DM_DMD', 'N_NN')",34
227,"('V_VM_VINF', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",34
228,"('N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'V_VM_VNF')",34
229,"('N_NN', 'N_NN', 'PSP', 'V_VM_VNF', 'N_NN')",34
230,"('N_NN', 'RD_SYM', 'N_NN', 'N_NN', 'N_NN')",33
231,"('V_VM_VNF', 'N_NN', 'RD_PUNC', 'N_NN', 'RD_PUNC')",33
232,"('N_NN', 'N_NN', 'N_NST', 'V_VM_VF', 'RD_PUNC')",33
233,"('RB', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",33
234,"('QT_QTC', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN')",33
235,"('N_NN', 'RD_PUNC', 'N_NN', 'PSP', 'N_NN')",33
236,"('N_NN', 'N_NN', 'N_NN', 'N_NNP', 'N_NN')",33
237,"('N_NN', 'N_NN', 'N_NST', 'N_NN', 'N_NN')",33
238,"('QT_QTC', 'RD_PUNC', 'QT_QTC', 'RD_PUNC', 'N_NN')",33
239,"('RD_PUNC', 'JJ', 'N_NN', 'N_NN', 'N_NN')",32
240,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'DM_DMD', 'N_NN')",32
241,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'RD_SYM')",32
242,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNF')",32
243,"('N_NN', 'PSP', 'V_VM_VNF', 'N_NN', 'N_NN')",32
244,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VF')",32
245,"('RD_PUNC', 'N_NN', 'N_NN', 'PSP', 'N_NN')",32
246,"('N_NN', 'N_NN', 'N_NN', 'QT_QTC', 'RD_PUNC')",32
247,"('PR_PRP', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VF')",32
248,"('V_VM_VNF', 'V_VM_VNF', 'N_NN', 'V_VM_VF', 'RD_PUNC')",32
249,"('RD_PUNC', 'N_NN', 'N_NN', 'QT_QTC', 'N_NN')",32
250,"('N_NN', 'N_NN', 'N_NN', 'RD_PUNC', 'QT_QTC')",32
251,"('RD_PUNC', 'QT_QTC', 'RD_PUNC', 'N_NN', 'RD_PUNC')",32
252,"('RD_PUNC', 'N_NN', 'N_NN', 'JJ', 'N_NN')",31
253,"('N_NST', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",31
254,"('N_NN', 'N_NN', 'RB', 'N_NN', 'V_VM_VF')",31
255,"('N_NN', 'V_VM_VINF', 'N_NN', 'N_NN', 'RD_PUNC')",31
256,"('N_NN', 'V_VM_VNF', 'DM_DMD', 'N_NN', 'N_NN')",31
257,"('N_NN', 'PR_PRP', 'N_NN', 'V_VM_VNF', 'N_NN')",31
258,"('N_NN', 'PR_PRP', 'N_NN', 'N_NN', 'V_VM_VF')",31
259,"('PSP', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",31
260,"('N_NN', 'V_VM_VNF', 'V_VM_VNF', 'RD_PUNC', 'N_NN')",31
261,"('RD_PUNC', 'N_NNP', 'RD_PUNC', 'N_NNP', 'N_NN')",31
262,"('N_NN', 'RD_PUNC', 'RD_PUNC', 'PR_PRP', 'N_NN')",31
263,"('N_NN', 'RB', 'N_NN', 'N_NN', 'N_NN')",31
264,"('RD_SYM', 'RD_SYM', 'RD_SYM', 'RD_SYM', 'RD_SYM')",31
265,"('N_NN', 'QT_QTC', 'N_NN', 'N_NN', 'V_VM_VNF')",30
266,"('RD_PUNC', 'N_NN', 'RB', 'V_VM_VF', 'RD_PUNC')",30
267,"('JJ', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VF')",30
268,"('N_NN', 'N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VF')",30
269,"('QT_QTC', 'RD_PUNC', 'N_NN', 'V_VM_VNF', 'N_NN')",30
270,"('RB', 'V_VM_VNF', 'N_NN', 'V_VM_VF', 'RD_PUNC')",30
271,"('N_NNP', 'N_NN', 'RD_PUNC', 'N_NN', 'N_NN')",30
272,"('N_NN', 'N_NN', 'JJ', 'N_NN', 'V_VM_VF')",30
273,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'RP_RPD')",29
274,"('V_VM_VNF', 'RD_PUNC', 'DM_DMD', 'N_NN', 'N_NN')",29
275,"('RD_PUNC', 'QT_QTC', 'N_NN', 'N_NN', 'N_NN')",29
276,"('V_VM_VNF', 'N_NN', 'RB', 'V_VM_VF', 'RD_PUNC')",29
277,"('N_NN', 'N_NN', 'RD_PUNC', 'PR_PRP', 'N_NN')",29
278,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'V_VM_VNF', 'N_NN')",29
279,"('CC_CCD', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",29
280,"('DM_DMD', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNF')",29
281,"('N_NN', 'RB', 'V_VM_VNF', 'RD_PUNC', 'N_NN')",29
282,"('RD_PUNC', 'N_NNP', 'N_NN', 'RD_PUNC', 'N_NN')",29
283,"('JJ', 'N_NN', 'N_NN', 'N_NN', 'RD_PUNC')",29
284,"('JJ', 'N_NN', 'RD_PUNC', 'N_NN', 'N_NN')",29
285,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNF')",29
286,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN', 'RB')",28
287,"('N_NN', 'N_NN', 'RD_PUNC', 'JJ', 'N_NN')",28
288,"('N_NN', 'N_NN', 'RP_RPD', 'N_NN', 'N_NN')",28
289,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'N_NN', 'N_NN')",28
290,"('CC_CCD', 'N_NN', 'N_NN', 'V_VM_VF', 'RD_PUNC')",28
291,"('RD_PUNC', 'N_NN', 'PSP', 'N_NN', 'N_NN')",28
292,"('N_NN', 'N_NN', 'V_VM_VNF', 'QT_QTC', 'N_NN')",28
293,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC')",28
294,"('QT_QTC', 'N_NN', 'N_NN', 'N_NN', 'RD_PUNC')",28
295,"('N_NN', 'PSP', 'N_NN', 'RD_PUNC', 'N_NN')",28
296,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NN')",28
297,"('DM_DMD', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",28
298,"('N_NN', 'N_NN', 'RB', 'N_NN', 'V_VM_VNF')",28
299,"('N_NN', 'N_NN', 'PR_PRP', 'N_NN', 'V_VM_VF')",27
300,"('N_NN', 'RP_RPD', 'N_NN', 'V_VM_VF', 'RD_PUNC')",27
301,"('QT_QTC', 'RD_SYM', 'N_NN', 'N_NN', 'N_NN')",27
302,"('N_NN', 'V_VM_VNF', 'N_NN', 'QT_QTC', 'N_NN')",27
303,"('N_NN', 'N_NN', 'RD_SYM', 'N_NN', 'N_NN')",27
304,"('N_NN', 'N_NN', 'N_NN', 'PSP', 'V_VM_VNF')",27
305,"('QT_QTC', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VF')",27
